Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
0,Gaussian,3,True,8,20,True,False,False,False,False,1813,77,1,76,0,0.012987012987012988,1.0,0.025641025641025647,76.0
0,Gaussian,3,True,8,20,True,False,False,False,True,1133,89,1,88,0,0.011235955056179775,1.0,0.02222222222222222,88.0
0,Gaussian,3,True,8,20,True,False,False,True,False,1106,42,1,41,0,0.023809523809523808,1.0,0.046511627906976744,41.0
0,Gaussian,3,True,8,20,True,False,False,True,True,1017,72,1,71,0,0.013888888888888888,1.0,0.0273972602739726,71.0
0,Gaussian,3,True,8,20,True,False,True,False,False,771,74,1,73,0,0.013513513513513514,1.0,0.026666666666666665,73.0
0,Gaussian,3,True,8,20,True,False,True,False,True,350,85,1,84,0,0.011764705882352941,1.0,0.023255813953488372,84.0
0,Gaussian,3,True,8,20,True,False,True,True,False,305,38,1,37,0,0.02631578947368421,1.0,0.05128205128205127,37.0
0,Gaussian,3,True,8,20,True,False,True,True,True,278,67,1,66,0,0.014925373134328358,1.0,0.029411764705882353,66.0
0,Gaussian,3,True,8,20,True,True,False,False,False,1505,90,1,89,0,0.011111111111111112,1.0,0.02197802197802198,89.0
0,Gaussian,3,True,8,20,True,True,False,False,True,1029,69,1,68,0,0.014492753623188406,1.0,0.02857142857142857,68.0
0,Gaussian,3,True,8,20,True,True,False,True,False,1025,53,1,52,0,0.018867924528301886,1.0,0.037037037037037035,52.0
0,Gaussian,3,True,8,20,True,True,False,True,True,950,66,1,65,0,0.015151515151515152,1.0,0.02985074626865672,65.0
0,Gaussian,3,True,8,20,True,True,True,False,False,463,87,1,86,0,0.011494252873563218,1.0,0.022727272727272724,86.0
0,Gaussian,3,True,8,20,True,True,True,False,True,246,65,1,64,0,0.015384615384615385,1.0,0.030303030303030307,64.0
0,Gaussian,3,True,8,20,True,True,True,True,False,224,49,1,48,0,0.02040816326530612,1.0,0.039999999999999994,48.0
0,Gaussian,3,True,8,20,True,True,True,True,True,211,61,1,60,0,0.01639344262295082,1.0,0.03225806451612903,60.0
0,Gaussian,3,True,8,35,True,False,False,False,False,275,34,1,33,0,0.029411764705882353,1.0,0.05714285714285715,33.0
0,Gaussian,3,True,8,35,True,False,False,False,True,169,57,1,56,0,0.017543859649122806,1.0,0.034482758620689655,56.0
0,Gaussian,3,True,8,35,True,False,False,True,False,165,31,1,30,0,0.03225806451612903,1.0,0.0625,30.0
0,Gaussian,3,True,8,35,True,False,False,True,True,146,47,1,46,0,0.02127659574468085,1.0,0.04166666666666667,46.0
0,Gaussian,3,True,8,35,True,False,True,False,False,262,34,1,33,0,0.029411764705882353,1.0,0.05714285714285715,33.0
0,Gaussian,3,True,8,35,True,False,True,False,True,156,57,1,56,0,0.017543859649122806,1.0,0.034482758620689655,56.0
0,Gaussian,3,True,8,35,True,False,True,True,False,152,31,1,30,0,0.03225806451612903,1.0,0.0625,30.0
0,Gaussian,3,True,8,35,True,False,True,True,True,133,47,1,46,0,0.02127659574468085,1.0,0.04166666666666667,46.0
0,Gaussian,3,True,8,35,True,True,False,False,False,181,53,1,52,0,0.018867924528301886,1.0,0.037037037037037035,52.0
0,Gaussian,3,True,8,35,True,True,False,False,True,131,47,1,46,0,0.02127659574468085,1.0,0.04166666666666667,46.0
0,Gaussian,3,True,8,35,True,True,False,True,False,113,29,1,28,0,0.034482758620689655,1.0,0.06666666666666667,28.0
0,Gaussian,3,True,8,35,True,True,False,True,True,108,33,1,32,0,0.030303030303030304,1.0,0.05882352941176471,32.0
0,Gaussian,3,True,8,35,True,True,True,False,False,168,53,1,52,0,0.018867924528301886,1.0,0.037037037037037035,52.0
0,Gaussian,3,True,8,35,True,True,True,False,True,118,47,1,46,0,0.02127659574468085,1.0,0.04166666666666667,46.0
0,Gaussian,3,True,8,35,True,True,True,True,False,100,29,1,28,0,0.034482758620689655,1.0,0.06666666666666667,28.0
0,Gaussian,3,True,8,35,True,True,True,True,True,95,33,1,32,0,0.030303030303030304,1.0,0.05882352941176471,32.0
0,Gaussian,3,True,8,50,True,False,False,False,False,8,1,1,0,0,1.0,1.0,1.0,0.0
0,Gaussian,3,True,8,50,True,False,False,False,True,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,False,False,True,False,7,1,1,0,0,1.0,1.0,1.0,0.0
0,Gaussian,3,True,8,50,True,False,False,True,True,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,False,True,False,False,8,1,1,0,0,1.0,1.0,1.0,0.0
0,Gaussian,3,True,8,50,True,False,True,False,True,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,False,True,True,False,7,1,1,0,0,1.0,1.0,1.0,0.0
0,Gaussian,3,True,8,50,True,False,True,True,True,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,True,False,False,False,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,True,False,False,True,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
0,Gaussian,3,True,8,50,True,True,False,True,False,7,2,1,1,0,0.5,1.0,0.6666666666666666,1.0
