Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
6,Gaussian,3,True,8,20,True,False,False,False,False,1844,344,127,250,54,0.33687002652519893,0.7016574585635359,0.4551971326164875,196.0
6,Gaussian,3,True,8,20,True,False,False,False,True,485,150,73,101,108,0.41954022988505746,0.40331491712707185,0.4112676056338028,7.0
6,Gaussian,3,True,8,20,True,False,False,True,False,438,98,79,60,102,0.5683453237410072,0.43646408839779005,0.4937500000000001,42.0
6,Gaussian,3,True,8,20,True,False,False,True,True,328,107,54,76,127,0.4153846153846154,0.2983425414364641,0.347266881028939,51.0
6,Gaussian,3,True,8,20,True,False,True,False,False,1525,346,127,251,54,0.335978835978836,0.7016574585635359,0.45438282647584977,197.0
6,Gaussian,3,True,8,20,True,False,True,False,True,408,152,79,102,102,0.43646408839779005,0.43646408839779005,0.43646408839779005,0.0
6,Gaussian,3,True,8,20,True,False,True,True,False,357,100,78,62,103,0.5571428571428572,0.430939226519337,0.48598130841121495,41.0
6,Gaussian,3,True,8,20,True,False,True,True,True,262,108,60,76,121,0.4411764705882353,0.3314917127071823,0.37854889589905355,45.0
6,Gaussian,3,True,8,20,True,True,False,False,False,926,154,79,102,102,0.43646408839779005,0.43646408839779005,0.43646408839779005,0.0
6,Gaussian,3,True,8,20,True,True,False,False,True,290,88,45,62,136,0.4205607476635514,0.24861878453038674,0.31250000000000006,74.0
6,Gaussian,3,True,8,20,True,True,False,True,False,261,56,45,36,136,0.5555555555555556,0.24861878453038674,0.3435114503816794,100.0
6,Gaussian,3,True,8,20,True,True,False,True,True,218,64,38,46,143,0.4523809523809524,0.20994475138121546,0.2867924528301887,97.0
6,Gaussian,3,True,8,20,True,True,True,False,False,607,155,79,102,102,0.43646408839779005,0.43646408839779005,0.43646408839779005,0.0
6,Gaussian,3,True,8,20,True,True,True,False,True,213,90,51,63,130,0.4473684210526316,0.281767955801105,0.34576271186440677,67.0
6,Gaussian,3,True,8,20,True,True,True,True,False,180,58,44,38,137,0.5365853658536586,0.2430939226519337,0.3346007604562737,99.0
6,Gaussian,3,True,8,20,True,True,True,True,True,152,65,44,46,137,0.4888888888888889,0.2430939226519337,0.3247232472324723,91.0
6,Gaussian,3,True,8,35,True,False,False,False,False,1238,311,141,205,40,0.407514450867052,0.7790055248618785,0.5351043643263758,165.0
6,Gaussian,3,True,8,35,True,False,False,False,True,513,225,149,134,32,0.5265017667844523,0.8232044198895028,0.6422413793103448,102.0
6,Gaussian,3,True,8,35,True,False,False,True,False,441,157,136,76,45,0.6415094339622641,0.7513812154696132,0.6921119592875318,31.0
6,Gaussian,3,True,8,35,True,False,False,True,True,351,155,125,82,56,0.6038647342995169,0.6906077348066298,0.6443298969072165,26.0
6,Gaussian,3,True,8,35,True,False,True,False,False,1134,311,136,207,45,0.3965014577259475,0.7513812154696132,0.5190839694656489,162.0
6,Gaussian,3,True,8,35,True,False,True,False,True,494,228,145,136,36,0.5160142348754448,0.8011049723756906,0.6277056277056278,100.0
6,Gaussian,3,True,8,35,True,False,True,True,False,413,155,131,74,50,0.6390243902439025,0.7237569060773481,0.6787564766839378,24.0
6,Gaussian,3,True,8,35,True,False,True,True,True,332,153,119,80,62,0.5979899497487438,0.6574585635359116,0.6263157894736843,18.0
6,Gaussian,3,True,8,35,True,True,False,False,False,772,229,149,134,32,0.5265017667844523,0.8232044198895028,0.6422413793103448,102.0
6,Gaussian,3,True,8,35,True,True,False,False,True,323,135,125,75,56,0.625,0.6906077348066298,0.6561679790026247,19.0
6,Gaussian,3,True,8,35,True,True,False,True,False,267,96,102,48,79,0.68,0.56353591160221,0.6163141993957704,31.0
6,Gaussian,3,True,8,35,True,True,False,True,True,229,99,96,55,85,0.6357615894039735,0.5303867403314917,0.5783132530120481,30.0
6,Gaussian,3,True,8,35,True,True,True,False,False,668,229,144,136,37,0.5142857142857142,0.7955801104972375,0.6247288503253796,99.0
6,Gaussian,3,True,8,35,True,True,True,False,True,304,138,121,77,60,0.6111111111111112,0.6685082872928176,0.6385224274406333,17.0
6,Gaussian,3,True,8,35,True,True,True,True,False,239,94,97,46,84,0.6783216783216783,0.5359116022099447,0.5987654320987654,38.0
6,Gaussian,3,True,8,35,True,True,True,True,True,210,97,90,53,91,0.6293706293706294,0.4972375690607735,0.5555555555555555,38.0
6,Gaussian,3,True,8,50,True,False,False,False,False,1090,262,125,162,56,0.4355400696864111,0.6906077348066298,0.5341880341880342,106.0
6,Gaussian,3,True,8,50,True,False,False,False,True,579,249,147,133,34,0.525,0.8121546961325967,0.6377440347071582,99.0
6,Gaussian,3,True,8,50,True,False,False,True,False,528,173,129,79,52,0.6201923076923077,0.712707182320442,0.6632390745501285,27.0
6,Gaussian,3,True,8,50,True,False,False,True,True,445,202,148,97,33,0.6040816326530613,0.8176795580110497,0.6948356807511737,64.0
6,Gaussian,3,True,8,50,True,False,True,False,False,996,262,123,164,58,0.42857142857142855,0.6795580110497238,0.5256410256410257,106.0
6,Gaussian,3,True,8,50,True,False,True,False,True,536,247,140,133,41,0.5128205128205128,0.7734806629834254,0.6167400881057269,92.0
6,Gaussian,3,True,8,50,True,False,True,True,False,479,172,122,80,59,0.6039603960396039,0.6740331491712708,0.6370757180156659,21.0
6,Gaussian,3,True,8,50,True,False,True,True,True,411,200,141,97,40,0.592436974789916,0.7790055248618785,0.6730310262529833,57.0
6,Gaussian,3,True,8,50,True,True,False,False,False,736,243,143,130,38,0.5238095238095238,0.7900552486187845,0.6299559471365639,92.0
6,Gaussian,3,True,8,50,True,True,False,False,True,413,184,139,95,42,0.594017094017094,0.7679558011049724,0.6698795180722892,53.0
6,Gaussian,3,True,8,50,True,True,False,True,False,360,137,138,60,43,0.696969696969697,0.7624309392265194,0.7282321899736148,17.0
6,Gaussian,3,True,8,50,True,True,False,True,True,318,142,142,64,39,0.6893203883495146,0.7845303867403315,0.7338501291989664,25.0
6,Gaussian,3,True,8,50,True,True,True,False,False,642,243,141,132,40,0.5164835164835165,0.7790055248618785,0.6211453744493393,92.0
6,Gaussian,3,True,8,50,True,True,True,False,True,370,182,132,95,49,0.5814977973568282,0.7292817679558011,0.6470588235294117,46.0
6,Gaussian,3,True,8,50,True,True,True,True,False,311,136,131,61,50,0.6822916666666666,0.7237569060773481,0.7024128686327078,11.0
6,Gaussian,3,True,8,50,True,True,True,True,True,284,140,135,64,46,0.678391959798995,0.7458563535911602,0.7105263157894737,18.0
6,Gaussian,3,False,8,20,True,False,False,False,False,1661,296,136,195,45,0.4108761329305136,0.7513812154696132,0.53125,150.0
6,Gaussian,3,False,8,20,True,False,False,False,True,501,206,130,125,51,0.5098039215686274,0.7182320441988951,0.5963302752293578,74.0
6,Gaussian,3,False,8,20,True,False,False,True,False,437,126,118,68,63,0.6344086021505376,0.6519337016574586,0.6430517711171662,5.0
6,Gaussian,3,False,8,20,True,False,False,True,True,358,141,106,87,75,0.5492227979274611,0.585635359116022,0.5668449197860963,12.0
6,Gaussian,3,False,8,20,True,False,True,False,False,1602,297,132,195,49,0.4036697247706422,0.7292817679558011,0.5196850393700787,146.0
6,Gaussian,3,False,8,20,True,False,True,False,True,485,209,136,127,45,0.5171102661596958,0.7513812154696132,0.6126126126126126,82.0
6,Gaussian,3,False,8,20,True,False,True,True,False,409,124,117,66,64,0.639344262295082,0.6464088397790055,0.6428571428571429,2.0
6,Gaussian,3,False,8,20,True,False,True,True,True,340,141,112,86,69,0.5656565656565656,0.6187845303867403,0.5910290237467019,17.0
6,Gaussian,3,False,8,20,True,True,False,False,False,781,204,135,122,46,0.5252918287937743,0.7458563535911602,0.6164383561643837,76.0
6,Gaussian,3,False,8,20,True,True,False,False,True,309,125,91,81,90,0.5290697674418605,0.5027624309392266,0.5155807365439093,9.0
6,Gaussian,3,False,8,20,True,True,False,True,False,267,87,81,48,100,0.627906976744186,0.44751381215469616,0.5225806451612902,52.0
6,Gaussian,3,False,8,20,True,True,False,True,True,225,92,68,59,113,0.5354330708661418,0.3756906077348066,0.44155844155844154,54.0
6,Gaussian,3,False,8,20,True,True,True,False,False,722,206,131,123,50,0.515748031496063,0.7237569060773481,0.6022988505747127,73.0
6,Gaussian,3,False,8,20,True,True,True,False,True,293,127,97,82,84,0.5418994413407822,0.5359116022099447,0.5388888888888889,2.0
6,Gaussian,3,False,8,20,True,True,True,True,False,239,85,80,46,101,0.6349206349206349,0.4419889502762431,0.5211726384364821,55.0
6,Gaussian,3,False,8,20,True,True,True,True,True,207,93,74,59,107,0.556390977443609,0.4088397790055249,0.4713375796178344,48.0
6,Gaussian,3,False,8,35,True,False,False,False,False,1287,219,108,129,73,0.45569620253164556,0.5966850828729282,0.5167464114832536,56.0
6,Gaussian,3,False,8,35,True,False,False,False,True,564,234,135,125,46,0.5192307692307693,0.7458563535911602,0.6122448979591837,79.0
6,Gaussian,3,False,8,35,True,False,False,True,False,546,162,111,72,70,0.6065573770491803,0.6132596685082873,0.6098901098901099,2.0
6,Gaussian,3,False,8,35,True,False,False,True,True,447,200,141,90,40,0.6103896103896104,0.7790055248618785,0.6844660194174758,50.0
6,Gaussian,3,False,8,35,True,False,True,False,False,1162,219,108,129,73,0.45569620253164556,0.5966850828729282,0.5167464114832536,56.0
6,Gaussian,3,False,8,35,True,False,True,False,True,518,234,130,124,51,0.5118110236220472,0.7182320441988951,0.5977011494252873,73.0
6,Gaussian,3,False,8,35,True,False,True,True,False,504,162,106,70,75,0.6022727272727273,0.585635359116022,0.5938375350140056,5.0
6,Gaussian,3,False,8,35,True,False,True,True,True,415,199,135,91,46,0.5973451327433629,0.7458563535911602,0.6633906633906634,45.0
6,Gaussian,3,False,8,35,True,True,False,False,False,829,225,136,115,45,0.5418326693227091,0.7513812154696132,0.6296296296296297,70.0
6,Gaussian,3,False,8,35,True,True,False,False,True,423,189,136,94,45,0.591304347826087,0.7513812154696132,0.6618004866180048,49.0
6,Gaussian,3,False,8,35,True,True,False,True,False,371,139,128,62,53,0.6736842105263158,0.7071823204419889,0.6900269541778976,9.0
6,Gaussian,3,False,8,35,True,True,False,True,True,324,148,140,67,41,0.6763285024154589,0.7734806629834254,0.7216494845360825,26.0
6,Gaussian,3,False,8,35,True,True,True,False,False,704,224,136,114,45,0.544,0.7513812154696132,0.6310904872389792,69.0
6,Gaussian,3,False,8,35,True,True,True,False,True,377,189,131,93,50,0.5848214285714286,0.7237569060773481,0.6469135802469136,43.0
6,Gaussian,3,False,8,35,True,True,True,True,False,329,139,123,60,58,0.6721311475409836,0.6795580110497238,0.6758241758241758,2.0
6,Gaussian,3,False,8,35,True,True,True,True,True,292,147,134,66,47,0.67,0.7403314917127072,0.7034120734908137,19.0
6,Gaussian,3,False,8,50,True,False,False,False,False,824,103,53,54,128,0.4953271028037383,0.292817679558011,0.3680555555555555,74.0
6,Gaussian,3,False,8,50,True,False,False,False,True,427,132,77,65,104,0.5422535211267606,0.425414364640884,0.476780185758514,39.0
6,Gaussian,3,False,8,50,True,False,False,True,False,409,103,69,48,112,0.5897435897435898,0.3812154696132597,0.4630872483221477,64.0
6,Gaussian,3,False,8,50,True,False,False,True,True,357,125,82,56,99,0.5942028985507246,0.4530386740331492,0.5141065830721003,43.0
6,Gaussian,3,False,8,50,True,False,True,False,False,764,104,52,56,129,0.48148148148148145,0.287292817679558,0.3598615916955017,73.0
