Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
2,Gaussian,3,True,8,50,True,True,False,False,False,1389,67,37,35,14,0.5138888888888888,0.7254901960784313,0.6016260162601625,21.0
2,Gaussian,3,True,8,50,True,True,False,False,True,632,65,44,28,7,0.6111111111111112,0.8627450980392157,0.7154471544715448,21.0
2,Gaussian,3,True,8,50,True,True,False,True,False,662,57,41,27,10,0.6029411764705882,0.803921568627451,0.6890756302521008,17.0
2,Gaussian,3,True,8,50,True,True,False,True,True,572,57,44,25,7,0.6376811594202898,0.8627450980392157,0.7333333333333333,18.0
2,Gaussian,3,True,8,50,True,True,True,False,False,321,67,35,35,16,0.5,0.6862745098039216,0.5785123966942148,19.0
2,Gaussian,3,True,8,50,True,True,True,False,True,192,68,44,31,7,0.5866666666666667,0.8627450980392157,0.6984126984126984,24.0
2,Gaussian,3,True,8,50,True,True,True,True,False,179,54,40,24,11,0.625,0.7843137254901961,0.6956521739130435,13.0
2,Gaussian,3,True,8,50,True,True,True,True,True,163,59,44,27,7,0.6197183098591549,0.8627450980392157,0.721311475409836,20.0
2,Gaussian,3,False,8,20,True,False,False,False,False,3272,109,38,75,13,0.336283185840708,0.7450980392156863,0.46341463414634143,62.0
2,Gaussian,3,False,8,20,True,False,False,False,True,1670,101,39,72,12,0.35135135135135137,0.7647058823529411,0.48148148148148157,60.0
2,Gaussian,3,False,8,20,True,False,False,True,False,1724,59,33,34,18,0.4925373134328358,0.6470588235294118,0.5593220338983051,16.0
2,Gaussian,3,False,8,20,True,False,False,True,True,1471,90,39,62,12,0.38613861386138615,0.7647058823529411,0.5131578947368421,50.0
2,Gaussian,3,False,8,20,True,False,True,False,False,654,116,38,82,13,0.31666666666666665,0.7450980392156863,0.4444444444444444,69.0
2,Gaussian,3,False,8,20,True,False,True,False,True,301,94,43,63,8,0.4056603773584906,0.8431372549019608,0.5477707006369428,55.0
2,Gaussian,3,False,8,20,True,False,True,True,False,265,64,37,37,14,0.5,0.7254901960784313,0.592,23.0
2,Gaussian,3,False,8,20,True,False,True,True,True,234,72,43,42,8,0.5058823529411764,0.8431372549019608,0.6323529411764706,34.0
2,Gaussian,3,False,8,20,True,True,False,False,False,3000,88,43,57,8,0.43,0.8431372549019608,0.5695364238410596,49.0
2,Gaussian,3,False,8,20,True,True,False,False,True,1586,83,38,56,13,0.40425531914893614,0.7450980392156863,0.5241379310344827,43.0
2,Gaussian,3,False,8,20,True,True,False,True,False,1648,50,37,23,14,0.6166666666666667,0.7254901960784313,0.6666666666666666,9.0
2,Gaussian,3,False,8,20,True,True,False,True,True,1411,77,36,51,15,0.41379310344827586,0.7058823529411765,0.5217391304347826,36.0
2,Gaussian,3,False,8,20,True,True,True,False,False,382,96,43,65,8,0.39814814814814814,0.8431372549019608,0.5408805031446541,57.0
2,Gaussian,3,False,8,20,True,True,True,False,True,217,77,42,48,9,0.4666666666666667,0.8235294117647058,0.5957446808510638,39.0
2,Gaussian,3,False,8,20,True,True,True,True,False,189,55,41,26,10,0.6119402985074627,0.803921568627451,0.6949152542372882,16.0
2,Gaussian,3,False,8,20,True,True,True,True,True,174,59,40,31,11,0.5633802816901409,0.7843137254901961,0.6557377049180328,20.0
2,Gaussian,3,False,8,35,True,False,False,False,False,1175,43,24,22,27,0.5217391304347826,0.47058823529411764,0.49484536082474223,5.0
2,Gaussian,3,False,8,35,True,False,False,False,True,283,57,31,29,20,0.5166666666666667,0.6078431372549019,0.5585585585585585,9.0
2,Gaussian,3,False,8,35,True,False,False,True,False,287,37,27,16,24,0.627906976744186,0.5294117647058824,0.5744680851063829,8.0
2,Gaussian,3,False,8,35,True,False,False,True,True,241,49,30,26,21,0.5357142857142857,0.5882352941176471,0.5607476635514018,5.0
2,Gaussian,3,False,8,35,True,False,True,False,False,465,44,23,23,28,0.5,0.45098039215686275,0.4742268041237114,5.0
2,Gaussian,3,False,8,35,True,False,True,False,True,195,62,31,34,20,0.47692307692307695,0.6078431372549019,0.5344827586206896,14.0
2,Gaussian,3,False,8,35,True,False,True,True,False,185,38,27,17,24,0.6136363636363636,0.5294117647058824,0.5684210526315789,7.0
2,Gaussian,3,False,8,35,True,False,True,True,True,162,54,30,30,21,0.5,0.5882352941176471,0.5405405405405405,9.0
2,Gaussian,3,False,8,35,True,True,False,False,False,1044,51,31,23,20,0.5740740740740741,0.6078431372549019,0.5904761904761905,3.0
2,Gaussian,3,False,8,35,True,True,False,False,True,235,57,35,29,16,0.546875,0.6862745098039216,0.6086956521739131,13.0
2,Gaussian,3,False,8,35,True,True,False,True,False,227,37,30,15,21,0.6666666666666666,0.5882352941176471,0.625,6.0
2,Gaussian,3,False,8,35,True,True,False,True,True,198,48,37,22,14,0.6271186440677966,0.7254901960784313,0.6727272727272727,8.0
2,Gaussian,3,False,8,35,True,True,True,False,False,334,52,30,24,21,0.5555555555555556,0.5882352941176471,0.5714285714285715,3.0
2,Gaussian,3,False,8,35,True,True,True,False,True,147,62,35,34,16,0.5072463768115942,0.6862745098039216,0.5833333333333334,18.0
2,Gaussian,3,False,8,35,True,True,True,True,False,125,38,30,16,21,0.6521739130434783,0.5882352941176471,0.6185567010309279,5.0
2,Gaussian,3,False,8,35,True,True,True,True,True,119,53,37,26,14,0.5873015873015873,0.7254901960784313,0.6491228070175439,12.0
2,Gaussian,3,False,8,50,True,False,False,False,False,466,17,13,6,38,0.6842105263157895,0.2549019607843137,0.37142857142857144,32.0
2,Gaussian,3,False,8,50,True,False,False,False,True,226,36,20,20,31,0.5,0.39215686274509803,0.4395604395604396,11.0
2,Gaussian,3,False,8,50,True,False,False,True,False,242,20,16,7,35,0.6956521739130435,0.3137254901960784,0.43243243243243246,28.0
2,Gaussian,3,False,8,50,True,False,False,True,True,206,36,20,20,31,0.5,0.39215686274509803,0.4395604395604396,11.0
2,Gaussian,3,False,8,50,True,False,True,False,False,176,17,10,7,41,0.5882352941176471,0.19607843137254902,0.29411764705882354,34.0
2,Gaussian,3,False,8,50,True,False,True,False,True,115,32,17,16,34,0.5151515151515151,0.3333333333333333,0.40476190476190477,18.0
2,Gaussian,3,False,8,50,True,False,True,True,False,124,19,12,7,39,0.631578947368421,0.23529411764705882,0.34285714285714286,32.0
2,Gaussian,3,False,8,50,True,False,True,True,True,108,32,17,16,34,0.5151515151515151,0.3333333333333333,0.40476190476190477,18.0
2,Gaussian,3,False,8,50,True,True,False,False,False,412,31,19,15,32,0.5588235294117647,0.37254901960784315,0.4470588235294118,17.0
2,Gaussian,3,False,8,50,True,True,False,False,True,214,45,22,27,29,0.4489795918367347,0.43137254901960786,0.43999999999999995,2.0
2,Gaussian,3,False,8,50,True,True,False,True,False,204,30,21,13,30,0.6176470588235294,0.4117647058823529,0.4941176470588236,17.0
2,Gaussian,3,False,8,50,True,True,False,True,True,182,45,22,27,29,0.4489795918367347,0.43137254901960786,0.43999999999999995,2.0
2,Gaussian,3,False,8,50,True,True,True,False,False,122,31,16,16,35,0.5,0.3137254901960784,0.3855421686746988,19.0
2,Gaussian,3,False,8,50,True,True,True,False,True,103,41,19,23,32,0.4523809523809524,0.37254901960784315,0.40860215053763443,9.0
2,Gaussian,3,False,8,50,True,True,True,True,False,86,29,17,13,34,0.5666666666666667,0.3333333333333333,0.4197530864197531,21.0
2,Gaussian,3,False,8,50,True,True,True,True,True,84,41,19,23,32,0.4523809523809524,0.37254901960784315,0.40860215053763443,9.0
2,Gaussian,5,True,8,20,True,False,False,False,False,6290,116,29,88,22,0.24786324786324787,0.5686274509803921,0.3452380952380953,66.0
2,Gaussian,5,True,8,20,True,False,False,False,True,3355,341,34,317,17,0.09686609686609686,0.6666666666666666,0.1691542288557214,300.0
2,Gaussian,5,True,8,20,True,False,False,True,False,3384,142,25,124,26,0.16778523489932887,0.49019607843137253,0.25,98.0
2,Gaussian,5,True,8,20,True,False,False,True,True,2737,322,26,303,25,0.0790273556231003,0.5098039215686274,0.1368421052631579,278.0
2,Gaussian,5,True,8,20,True,False,True,False,False,1590,118,33,88,18,0.2727272727272727,0.6470588235294118,0.3837209302325581,70.0
2,Gaussian,5,True,8,20,True,False,True,False,True,769,136,40,109,11,0.2684563758389262,0.7843137254901961,0.4,98.0
2,Gaussian,5,True,8,20,True,False,True,True,False,745,69,29,49,22,0.3717948717948718,0.5686274509803921,0.4496124031007752,27.0
2,Gaussian,5,True,8,20,True,False,True,True,True,658,111,32,89,19,0.2644628099173554,0.6274509803921569,0.37209302325581395,70.0
2,Gaussian,5,True,8,20,True,True,False,False,False,5768,121,36,96,15,0.2727272727272727,0.7058823529411765,0.39344262295081966,81.0
2,Gaussian,5,True,8,20,True,True,False,False,True,3234,315,24,300,27,0.07407407407407407,0.47058823529411764,0.128,273.0
2,Gaussian,5,True,8,20,True,True,False,True,False,3262,146,17,132,34,0.11409395973154363,0.3333333333333333,0.17,98.0
2,Gaussian,5,True,8,20,True,True,False,True,True,2642,306,14,294,37,0.045454545454545456,0.27450980392156865,0.07799442896935933,257.0
2,Gaussian,5,True,8,20,True,True,True,False,False,1068,123,40,96,11,0.29411764705882354,0.7843137254901961,0.4278074866310161,85.0
2,Gaussian,5,True,8,20,True,True,True,False,True,648,110,30,92,21,0.2459016393442623,0.5882352941176471,0.34682080924855496,71.0
2,Gaussian,5,True,8,20,True,True,True,True,False,623,73,21,57,30,0.2692307692307692,0.4117647058823529,0.3255813953488372,27.0
2,Gaussian,5,True,8,20,True,True,True,True,True,563,95,20,80,31,0.2,0.39215686274509803,0.26490066225165565,49.0
2,Gaussian,5,True,8,35,True,False,False,False,False,2342,78,33,50,18,0.39759036144578314,0.6470588235294118,0.49253731343283585,32.0
2,Gaussian,5,True,8,35,True,False,False,False,True,1290,97,36,66,15,0.35294117647058826,0.7058823529411765,0.4705882352941177,51.0
2,Gaussian,5,True,8,35,True,False,False,True,False,1318,59,36,33,15,0.5217391304347826,0.7058823529411765,0.6,18.0
2,Gaussian,5,True,8,35,True,False,False,True,True,1177,98,39,69,12,0.3611111111111111,0.7647058823529411,0.490566037735849,57.0
2,Gaussian,5,True,8,35,True,False,True,False,False,517,83,33,55,18,0.375,0.6470588235294118,0.4748201438848922,37.0
2,Gaussian,5,True,8,35,True,False,True,False,True,253,85,40,52,11,0.43478260869565216,0.7843137254901961,0.5594405594405595,41.0
2,Gaussian,5,True,8,35,True,False,True,True,False,230,59,39,32,12,0.5492957746478874,0.7647058823529411,0.6393442622950819,20.0
2,Gaussian,5,True,8,35,True,False,True,True,True,211,76,43,45,8,0.48863636363636365,0.8431372549019608,0.6187050359712231,37.0
2,Gaussian,5,True,8,35,True,True,False,False,False,2137,80,40,47,11,0.45977011494252873,0.7843137254901961,0.5797101449275363,36.0
2,Gaussian,5,True,8,35,True,True,False,False,True,1222,92,41,61,10,0.4019607843137255,0.803921568627451,0.5359477124183005,51.0
2,Gaussian,5,True,8,35,True,True,False,True,False,1243,60,37,34,14,0.5211267605633803,0.7254901960784313,0.6065573770491803,20.0
2,Gaussian,5,True,8,35,True,True,False,True,True,1112,87,40,58,11,0.40816326530612246,0.7843137254901961,0.5369127516778525,47.0
2,Gaussian,5,True,8,35,True,True,True,False,False,312,85,40,52,11,0.43478260869565216,0.7843137254901961,0.5594405594405595,41.0
2,Gaussian,5,True,8,35,True,True,True,False,True,185,80,45,47,6,0.4891304347826087,0.8823529411764706,0.6293706293706294,41.0
2,Gaussian,5,True,8,35,True,True,True,True,False,155,60,40,33,11,0.547945205479452,0.7843137254901961,0.6451612903225806,22.0
2,Gaussian,5,True,8,35,True,True,True,True,True,146,65,44,34,7,0.5641025641025641,0.8627450980392157,0.682170542635659,27.0
2,Gaussian,5,True,8,50,True,False,False,False,False,1021,47,23,27,28,0.46,0.45098039215686275,0.45544554455445546,1.0
2,Gaussian,5,True,8,50,True,False,False,False,True,394,62,33,34,18,0.4925373134328358,0.6470588235294118,0.5593220338983051,16.0
2,Gaussian,5,True,8,50,True,False,False,True,False,379,45,28,23,23,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.0
2,Gaussian,5,True,8,50,True,False,False,True,True,335,57,33,30,18,0.5238095238095238,0.6470588235294118,0.5789473684210527,12.0
2,Gaussian,5,True,8,50,True,False,True,False,False,308,46,22,26,29,0.4583333333333333,0.43137254901960786,0.4444444444444445,3.0
2,Gaussian,5,True,8,50,True,False,True,False,True,187,59,33,31,18,0.515625,0.6470588235294118,0.573913043478261,13.0
2,Gaussian,5,True,8,50,True,False,True,True,False,158,43,27,21,24,0.5625,0.5294117647058824,0.5454545454545455,3.0
2,Gaussian,5,True,8,50,True,False,True,True,True,149,52,33,25,18,0.5689655172413793,0.6470588235294118,0.6055045871559633,7.0
2,Gaussian,5,True,8,50,True,True,False,False,False,937,54,33,26,18,0.559322033898305,0.6470588235294118,0.6,8.0
2,Gaussian,5,True,8,50,True,True,False,False,True,357,64,39,33,12,0.5416666666666666,0.7647058823529411,0.6341463414634146,21.0
2,Gaussian,5,True,8,50,True,True,False,True,False,351,49,35,21,16,0.625,0.6862745098039216,0.6542056074766356,5.0
2,Gaussian,5,True,8,50,True,True,False,True,True,312,60,39,29,12,0.5735294117647058,0.7647058823529411,0.6554621848739496,17.0
2,Gaussian,5,True,8,50,True,True,True,False,False,224,53,32,25,19,0.5614035087719298,0.6274509803921569,0.5925925925925926,6.0
2,Gaussian,5,True,8,50,True,True,True,False,True,150,61,39,30,12,0.5652173913043478,0.7647058823529411,0.65,18.0
2,Gaussian,5,True,8,50,True,True,True,True,False,130,47,34,19,17,0.6415094339622641,0.6666666666666666,0.6538461538461539,2.0
2,Gaussian,5,True,8,50,True,True,True,True,True,126,55,39,24,12,0.6190476190476191,0.7647058823529411,0.6842105263157895,12.0
2,Gaussian,5,False,8,20,True,False,False,False,False,2032,77,33,48,18,0.4074074074074074,0.6470588235294118,0.5,30.0
2,Gaussian,5,False,8,20,True,False,False,False,True,959,84,34,57,17,0.37362637362637363,0.6666666666666666,0.4788732394366198,40.0
2,Gaussian,5,False,8,20,True,False,False,True,False,976,53,33,27,18,0.55,0.6470588235294118,0.5945945945945946,9.0
2,Gaussian,5,False,8,20,True,False,False,True,True,869,67,35,40,16,0.4666666666666667,0.6862745098039216,0.5555555555555557,24.0
2,Gaussian,5,False,8,20,True,False,True,False,False,524,81,33,52,18,0.38823529411764707,0.6470588235294118,0.4852941176470588,34.0
2,Gaussian,5,False,8,20,True,False,True,False,True,222,85,38,56,13,0.40425531914893614,0.7450980392156863,0.5241379310344827,43.0
2,Gaussian,5,False,8,20,True,False,True,True,False,197,56,36,29,15,0.5538461538461539,0.7058823529411765,0.6206896551724139,14.0
2,Gaussian,5,False,8,20,True,False,True,True,True,177,67,39,38,12,0.5064935064935064,0.7647058823529411,0.6093749999999999,26.0
2,Gaussian,5,False,8,20,True,True,False,False,False,1793,80,38,51,13,0.42696629213483145,0.7450980392156863,0.5428571428571428,38.0
2,Gaussian,5,False,8,20,True,True,False,False,True,897,73,37,46,14,0.4457831325301205,0.7254901960784313,0.5522388059701493,32.0
2,Gaussian,5,False,8,20,True,True,False,True,False,917,49,34,24,17,0.5862068965517241,0.6666666666666666,0.6238532110091743,7.0
2,Gaussian,5,False,8,20,True,True,False,True,True,827,59,36,33,15,0.5217391304347826,0.7058823529411765,0.6,18.0
2,Gaussian,5,False,8,20,True,True,True,False,False,285,83,38,54,13,0.41304347826086957,0.7450980392156863,0.5314685314685315,41.0
2,Gaussian,5,False,8,20,True,True,True,False,True,160,74,41,45,10,0.47674418604651164,0.803921568627451,0.5985401459854015,35.0
2,Gaussian,5,False,8,20,True,True,True,True,False,138,52,37,26,14,0.5873015873015873,0.7254901960784313,0.6491228070175439,12.0
2,Gaussian,5,False,8,20,True,True,True,True,True,135,59,40,31,11,0.5633802816901409,0.7843137254901961,0.6557377049180328,20.0
2,Gaussian,5,False,8,35,True,False,False,False,False,915,36,22,17,29,0.5641025641025641,0.43137254901960786,0.48888888888888893,12.0
2,Gaussian,5,False,8,35,True,False,False,False,True,214,51,25,29,26,0.46296296296296297,0.49019607843137253,0.47619047619047616,3.0
2,Gaussian,5,False,8,35,True,False,False,True,False,205,35,24,16,27,0.6,0.47058823529411764,0.5274725274725275,11.0
2,Gaussian,5,False,8,35,True,False,False,True,True,175,45,25,26,26,0.49019607843137253,0.49019607843137253,0.49019607843137253,0.0
2,Gaussian,5,False,8,35,True,False,True,False,False,351,35,21,16,30,0.5675675675675675,0.4117647058823529,0.47727272727272724,14.0
2,Gaussian,5,False,8,35,True,False,True,False,True,160,55,25,33,26,0.43103448275862066,0.49019607843137253,0.45871559633027525,7.0
2,Gaussian,5,False,8,35,True,False,True,True,False,140,34,24,15,27,0.6153846153846154,0.47058823529411764,0.5333333333333333,12.0
2,Gaussian,5,False,8,35,True,False,True,True,True,128,48,25,28,26,0.4716981132075472,0.49019607843137253,0.4807692307692308,2.0
2,Gaussian,5,False,8,35,True,True,False,False,False,829,48,25,26,26,0.49019607843137253,0.49019607843137253,0.49019607843137253,0.0
2,Gaussian,5,False,8,35,True,True,False,False,True,176,51,30,26,21,0.5357142857142857,0.5882352941176471,0.5607476635514018,5.0
2,Gaussian,5,False,8,35,True,True,False,True,False,166,37,27,16,24,0.627906976744186,0.5294117647058824,0.5744680851063829,8.0
2,Gaussian,5,False,8,35,True,True,False,True,True,147,45,29,23,22,0.5576923076923077,0.5686274509803921,0.5631067961165048,1.0
