Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
9,Gaussian,3,True,8,20.0,True,False,False,False,False,8212,227,174,127,61,0.5780730897009967,0.7404255319148936,0.6492537313432836,66.0
9,Gaussian,3,True,8,20.0,True,False,False,False,True,4464,443,127,368,108,0.25656565656565655,0.5404255319148936,0.34794520547945207,260.0
9,Gaussian,3,True,8,20.0,True,False,False,True,False,4140,235,113,173,122,0.3951048951048951,0.4808510638297872,0.43378119001919385,51.0
9,Gaussian,3,True,8,20.0,True,False,False,True,True,3171,446,105,384,130,0.2147239263803681,0.44680851063829785,0.29005524861878457,254.0
9,Gaussian,3,True,8,20.0,True,False,True,False,False,1296,209,179,106,56,0.6280701754385964,0.7617021276595745,0.6884615384615385,50.0
9,Gaussian,3,True,8,20.0,True,False,True,False,True,648,148,135,67,100,0.6683168316831684,0.574468085106383,0.6178489702517164,33.0
9,Gaussian,3,True,8,20.0,True,False,True,True,False,564,97,118,31,117,0.7919463087248322,0.502127659574468,0.6145833333333333,86.0
9,Gaussian,3,True,8,20.0,True,False,True,True,True,499,109,110,43,125,0.7189542483660131,0.46808510638297873,0.5670103092783504,82.0
9,Gaussian,3,True,8,20.0,True,True,False,False,False,7836,173,134,94,101,0.5877192982456141,0.5702127659574469,0.5788336933045357,7.0
9,Gaussian,3,True,8,20.0,True,True,False,False,True,4336,388,80,336,155,0.19230769230769232,0.3404255319148936,0.2457757296466974,181.0
9,Gaussian,3,True,8,20.0,True,True,False,True,False,4035,206,66,167,169,0.2832618025751073,0.28085106382978725,0.28205128205128205,2.0
9,Gaussian,3,True,8,20.0,True,True,False,True,True,3083,411,67,372,168,0.15261958997722094,0.2851063829787234,0.19881305637982197,204.0
9,Gaussian,3,True,8,20.0,True,True,True,False,False,920,155,139,73,96,0.6556603773584906,0.5914893617021276,0.6219239373601789,23.0
9,Gaussian,3,True,8,20.0,True,True,True,False,True,520,93,88,35,147,0.7154471544715447,0.37446808510638296,0.49162011173184356,112.0
9,Gaussian,3,True,8,20.0,True,True,True,True,False,459,69,71,26,164,0.7319587628865979,0.3021276595744681,0.42771084337349397,138.0
9,Gaussian,3,True,8,20.0,True,True,True,True,True,411,74,72,31,163,0.6990291262135923,0.30638297872340425,0.42603550295857984,132.0
9,Gaussian,3,True,8,35.0,True,False,False,False,False,3277,214,177,96,58,0.6483516483516484,0.7531914893617021,0.6968503937007875,38.0
9,Gaussian,3,True,8,35.0,True,False,False,False,True,2367,199,171,98,64,0.6356877323420075,0.7276595744680852,0.6785714285714287,34.0
9,Gaussian,3,True,8,35.0,True,False,False,True,False,2310,128,141,38,94,0.7877094972067039,0.6,0.6811594202898551,56.0
9,Gaussian,3,True,8,35.0,True,False,False,True,True,2063,196,148,105,87,0.5849802371541502,0.6297872340425532,0.6065573770491802,18.0
9,Gaussian,3,True,8,35.0,True,False,True,False,False,810,218,180,98,55,0.6474820143884892,0.7659574468085106,0.7017543859649122,43.0
9,Gaussian,3,True,8,35.0,True,False,True,False,True,398,166,175,63,60,0.7352941176470589,0.7446808510638298,0.7399577167019027,3.0
9,Gaussian,3,True,8,35.0,True,False,True,True,False,335,126,144,34,91,0.8089887640449438,0.6127659574468085,0.6973365617433414,57.0
9,Gaussian,3,True,8,35.0,True,False,True,True,True,289,141,152,47,83,0.7638190954773869,0.6468085106382979,0.7004608294930875,36.0
9,Gaussian,3,True,8,35.0,True,True,False,False,False,2986,166,172,66,63,0.7226890756302521,0.7319148936170212,0.7272727272727273,3.0
9,Gaussian,3,True,8,35.0,True,True,False,False,True,2234,150,158,78,77,0.6694915254237288,0.6723404255319149,0.6709129511677283,1.0
9,Gaussian,3,True,8,35.0,True,True,False,True,False,2186,96,113,27,122,0.8071428571428572,0.4808510638297872,0.6026666666666667,95.0
9,Gaussian,3,True,8,35.0,True,True,False,True,True,1965,150,103,84,132,0.5508021390374331,0.43829787234042555,0.4881516587677725,48.0
9,Gaussian,3,True,8,35.0,True,True,True,False,False,519,170,175,69,60,0.7172131147540983,0.7446808510638298,0.7306889352818371,9.0
9,Gaussian,3,True,8,35.0,True,True,True,False,True,265,117,162,44,73,0.7864077669902912,0.6893617021276596,0.7346938775510203,29.0
9,Gaussian,3,True,8,35.0,True,True,True,True,False,211,94,116,23,119,0.8345323741007195,0.49361702127659574,0.6203208556149733,96.0
9,Gaussian,3,True,8,35.0,True,True,True,True,True,191,95,107,26,128,0.8045112781954887,0.4553191489361702,0.5815217391304347,102.0
9,Gaussian,3,True,8,50.0,True,False,False,False,False,1107,215,172,90,63,0.6564885496183206,0.7319148936170212,0.6921529175050302,27.0
9,Gaussian,3,True,8,50.0,True,False,False,False,True,677,198,187,82,48,0.6951672862453532,0.7957446808510639,0.7420634920634921,34.0
9,Gaussian,3,True,8,50.0,True,False,False,True,False,637,154,174,45,61,0.7945205479452054,0.7404255319148936,0.7665198237885461,16.0
9,Gaussian,3,True,8,50.0,True,False,False,True,True,564,162,182,49,53,0.7878787878787878,0.774468085106383,0.7811158798283262,4.0
9,Gaussian,3,True,8,50.0,True,False,True,False,False,779,218,166,94,69,0.6384615384615384,0.7063829787234043,0.6707070707070707,25.0
9,Gaussian,3,True,8,50.0,True,False,True,False,True,436,203,187,87,48,0.6824817518248175,0.7957446808510639,0.7347740667976426,39.0
9,Gaussian,3,True,8,50.0,True,False,True,True,False,390,155,174,46,61,0.7909090909090909,0.7404255319148936,0.7648351648351648,15.0
9,Gaussian,3,True,8,50.0,True,False,True,True,True,340,166,182,53,53,0.774468085106383,0.774468085106383,0.774468085106383,0.0
9,Gaussian,3,True,8,50.0,True,True,False,False,False,869,197,189,80,46,0.7026022304832714,0.8042553191489362,0.75,34.0
9,Gaussian,3,True,8,50.0,True,True,False,False,True,563,170,192,59,43,0.7649402390438247,0.8170212765957446,0.7901234567901234,16.0
9,Gaussian,3,True,8,50.0,True,True,False,True,False,514,118,149,31,86,0.8277777777777777,0.6340425531914894,0.7180722891566265,55.0
9,Gaussian,3,True,8,50.0,True,True,False,True,True,476,137,150,45,85,0.7692307692307693,0.6382978723404256,0.6976744186046512,40.0
9,Gaussian,3,True,8,50.0,True,True,True,False,False,541,200,183,84,52,0.6853932584269663,0.7787234042553192,0.7290836653386454,32.0
9,Gaussian,3,True,8,50.0,True,True,True,False,True,322,175,192,65,43,0.7470817120622568,0.8170212765957446,0.7804878048780488,22.0
9,Gaussian,3,True,8,50.0,True,True,True,True,False,267,119,149,32,86,0.8232044198895028,0.6340425531914894,0.7163461538461539,54.0
9,Gaussian,3,True,8,50.0,True,True,True,True,True,252,141,150,49,85,0.7537688442211056,0.6382978723404256,0.6912442396313364,36.0
9,Gaussian,3,False,8,20.0,True,False,False,False,False,2061,213,177,98,58,0.6436363636363637,0.7531914893617021,0.6941176470588235,40.0
9,Gaussian,3,False,8,20.0,True,False,False,False,True,1289,168,164,66,71,0.7130434782608696,0.6978723404255319,0.7053763440860215,5.0
9,Gaussian,3,False,8,20.0,True,False,False,True,False,1239,129,148,39,87,0.7914438502673797,0.6297872340425532,0.7014218009478673,48.0
9,Gaussian,3,False,8,20.0,True,False,False,True,True,1116,130,148,44,87,0.7708333333333334,0.6297872340425532,0.6932084309133489,43.0
9,Gaussian,3,False,8,20.0,True,False,True,False,False,919,219,187,101,48,0.6493055555555556,0.7957446808510639,0.7151051625239006,53.0
9,Gaussian,3,False,8,20.0,True,False,True,False,True,401,175,168,71,67,0.702928870292887,0.7148936170212766,0.7088607594936708,4.0
9,Gaussian,3,False,8,20.0,True,False,True,True,False,344,131,150,40,85,0.7894736842105263,0.6382978723404256,0.7058823529411764,45.0
9,Gaussian,3,False,8,20.0,True,False,True,True,True,282,132,150,45,85,0.7692307692307693,0.6382978723404256,0.6976744186046512,40.0
9,Gaussian,3,False,8,20.0,True,True,False,False,False,1701,174,170,74,65,0.6967213114754098,0.723404255319149,0.7098121085594989,9.0
